year,team_code,team_name,spring_G,spring_W,spring_wpct,spring_rs_pg,spring_ra_pg,spring_rd_pg,spring_pyth,reg10_G,reg10_W,reg10_wpct,reg10_rs_pg,reg10_ra_pg,reg10_rd_pg,reg10_pyth,reg20_G,reg20_W,reg20_wpct,reg20_rs_pg,reg20_ra_pg,reg20_rd_pg,reg20_pyth,regfull_G,regfull_W,regfull_wpct,regfull_rs_pg,regfull_ra_pg,regfull_rd_pg,regfull_pyth
2023,1001,삼성,14,10.0,0.7142857142857143,4.857142857142857,4.785714285714286,0.07142857142857142,0.506777486608574,10,3.0,0.3,3.6,5.7,-2.1,0.3013359696762869,20,8.0,0.4,4.25,5.25,-1.0,0.4045130101957775,144,61.5,0.4270833333333333,4.416666666666667,5.055555555555555,-0.6388888888888888,0.438503549251402
2023,2002,KIA,13,6.0,0.46153846153846156,3.923076923076923,3.6923076923076925,0.23076923076923078,0.5277073509668557,10,3.0,0.3,3.0,4.7,-1.7,0.3054286054992956,20,9.0,0.45,3.55,3.8,-0.25,0.46890571869207426,144,74.0,0.5138888888888888,5.041666666666667,4.513888888888889,0.5277777777777778,0.5504173505857581
2023,3001,롯데,13,4.5,0.34615384615384615,4.076923076923077,5.153846153846154,-1.0769230769230769,0.39437630352766734,10,4.0,0.4,5.1,6.5,-1.4,0.3908149761926508,20,12.0,0.6,5.1,5.25,-0.15,0.4867413109023854,144,68.0,0.4722222222222222,4.534722222222222,4.583333333333333,-0.04861111111111111,0.49512196689601706
2023,5002,LG,14,8.0,0.5714285714285714,4.214285714285714,3.5,0.7142857142857143,0.5841570922286503,10,7.0,0.7,5.8,4.2,1.6,0.643520077665414,20,13.0,0.65,5.95,4.45,1.5,0.6298542125491766,144,87.0,0.6041666666666666,5.326388888888889,4.236111111111111,1.0902777777777777,0.6032728829667748
2023,6002,두산,13,6.0,0.46153846153846156,3.6923076923076925,4.230769230769231,-0.5384615384615384,0.4380396464050548,10,6.0,0.6,4.3,4.6,-0.3,0.46918471869143186,20,11.5,0.575,4.35,4.2,0.15,0.5160487639842632,144,75.0,0.5208333333333334,4.305555555555555,4.340277777777778,-0.034722222222222224,0.49632534760943126
2023,7002,한화,13,9.5,0.7307692307692307,6.538461538461538,3.923076923076923,2.6153846153846154,0.7180502909748407,10,3.0,0.3,4.0,4.2,-0.2,0.4776933169781648,20,6.5,0.325,3.7,4.95,-1.25,0.3699036436360661,144,61.0,0.4236111111111111,4.194444444444445,4.916666666666667,-0.7222222222222222,0.42782469301822745
2023,9002,SSG,13,6.5,0.5,2.923076923076923,3.4615384615384617,-0.5384615384615384,0.423258834848002,10,8.0,0.8,4.8,3.5,1.3,0.6406095855484769,20,13.0,0.65,4.45,3.9,0.55,0.5600653804474265,144,77.5,0.5381944444444444,4.569444444444445,4.847222222222222,-0.2777777777777778,0.47302722703418604
2023,10001,키움,14,4.5,0.32142857142857145,3.5,4.785714285714286,-1.2857142857142858,0.3606471703917608,10,4.0,0.4,3.2,4.8,-1.6,0.322566702912462,20,9.0,0.45,3.75,4.1,-0.35,0.4592672263660311,144,59.5,0.4131944444444444,4.215277777777778,4.930555555555555,-0.7152777777777778,0.4287807960187706
2023,11001,NC,13,5.0,0.38461538461538464,3.1538461538461537,4.153846153846154,-1.0,0.37660019438372255,10,7.0,0.7,5.0,2.5,2.5,0.7804788983286847,20,10.0,0.5,4.55,4.0,0.55,0.5586695294343735,144,76.0,0.5277777777777778,4.715277777777778,4.284722222222222,0.4305555555555556,0.5436948430579089
2023,12001,KT,14,7.0,0.5,4.285714285714286,3.5,0.7857142857142857,0.5916086396299945,10,4.5,0.45,5.7,4.8,0.9,0.5779798561989667,20,8.0,0.4,4.8,4.75,0.05,0.5047904731014715,144,80.5,0.5590277777777778,4.666666666666667,4.277777777777778,0.3888888888888889,0.539723809127613
